case_id,path,borrower,loan_or_opportunity,document_id,statement_type,fiscal_period,source_page,source_coordinates,extracted_raw_value,normalized_line,confidence,exception_reason,reviewer,certification_timestamp,final_spread_reference,status,notes
DOC-SYN-1001-AUDIT-CURRENT_LIABILITIES,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,2,synthetic-line-6,"$1,740,000",current_liabilities,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-CURRENT_LIABILITIES,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,2,synthetic-line-6,"$1,740,000",current_liabilities,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-CURRENT_LIABILITIES,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,2,synthetic-line-6,"$1,740,000",current_liabilities,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-TOTAL_LIABILITIES,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,2,synthetic-line-7,"$4,950,000",total_liabilities,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-TOTAL_LIABILITIES,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,2,synthetic-line-7,"$4,950,000",total_liabilities,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-TOTAL_LIABILITIES,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,2,synthetic-line-7,"$4,950,000",total_liabilities,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-NET_WORTH_EQUITY,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,2,synthetic-line-8,"$3,620,000",net_worth_equity,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-NET_WORTH_EQUITY,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,2,synthetic-line-8,"$3,620,000",net_worth_equity,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-NET_WORTH_EQUITY,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,2,synthetic-line-8,"$3,620,000",net_worth_equity,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-TAX-REVENUE,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,1,synthetic-line-1,"$8,610,000",revenue,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-TAX-REVENUE,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,1,synthetic-line-1,"$8,160,000",revenue,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic mismatch for control testing.
DOC-SYN-1001-TAX-REVENUE,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,1,synthetic-line-1,"$8,610,000",revenue,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-TAX-EBITDA,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,1,synthetic-line-2,"$1,440,000",ebitda,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-TAX-EBITDA,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,1,synthetic-line-2,"$1,440,000",ebitda,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-TAX-EBITDA,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,1,synthetic-line-2,"$1,440,000",ebitda,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-TAX-CASH,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,1,synthetic-line-3,"$690,000",cash,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-TAX-CASH,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,1,synthetic-line-3,"$690,000",cash,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-TAX-CASH,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,1,synthetic-line-3,"$690,000",cash,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-TAX-TOTAL_LIABILITIES,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,1,synthetic-line-4,"$4,950,000",total_liabilities,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-TAX-TOTAL_LIABILITIES,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,1,synthetic-line-4,"$4,950,000",total_liabilities,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-TAX-TOTAL_LIABILITIES,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,1,synthetic-line-4,"$4,950,000",total_liabilities,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-REVENUE,ncino_automated_spreading,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,1,synthetic-line-1,"$12,020,000",revenue,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-REVENUE,salesforce_native_staging,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,1,synthetic-line-1,"$12,020,000",revenue,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-REVENUE,manual_ncino_control,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,1,synthetic-line-1,"$12,020,000",revenue,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-EBITDA,ncino_automated_spreading,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,1,synthetic-line-2,"$1,020,000",ebitda,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-EBITDA,salesforce_native_staging,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,1,synthetic-line-2,"$1,020,000",ebitda,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-EBITDA,manual_ncino_control,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,1,synthetic-line-2,"$1,020,000",ebitda,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-DEBT_SERVICE,ncino_automated_spreading,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,1,synthetic-line-3,"$116,000",debt_service,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic mismatch for control testing.
DOC-SYN-1002-COMPANY-DEBT_SERVICE,salesforce_native_staging,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,1,synthetic-line-3,"$1,160,000",debt_service,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-DEBT_SERVICE,manual_ncino_control,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,1,synthetic-line-3,"$1,160,000",debt_service,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-CASH,ncino_automated_spreading,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,1,synthetic-line-4,"$410,000",cash,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-CASH,salesforce_native_staging,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,1,synthetic-line-4,"$410,000",cash,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-CASH,manual_ncino_control,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,1,synthetic-line-4,"$410,000",cash,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-CURRENT_ASSETS,ncino_automated_spreading,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,2,synthetic-line-5,"$2,950,000",current_assets,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-CURRENT_ASSETS,salesforce_native_staging,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,2,synthetic-line-5,"$2,950,000",current_assets,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-CURRENT_ASSETS,manual_ncino_control,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,2,synthetic-line-5,"$2,950,000",current_assets,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-CURRENT_LIABILITIES,ncino_automated_spreading,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,2,synthetic-line-6,"$2,610,000",current_liabilities,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-CURRENT_LIABILITIES,salesforce_native_staging,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,2,synthetic-line-6,"$2,610,000",current_liabilities,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-CURRENT_LIABILITIES,manual_ncino_control,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,2,synthetic-line-6,"$2,610,000",current_liabilities,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-TOTAL_LIABILITIES,ncino_automated_spreading,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,2,synthetic-line-7,"$7,840,000",total_liabilities,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-TOTAL_LIABILITIES,salesforce_native_staging,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,2,synthetic-line-7,"$7,840,000",total_liabilities,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-TOTAL_LIABILITIES,manual_ncino_control,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,2,synthetic-line-7,"$7,840,000",total_liabilities,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-NET_WORTH_EQUITY,ncino_automated_spreading,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,2,synthetic-line-8,"$2,240,000",net_worth_equity,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-NET_WORTH_EQUITY,salesforce_native_staging,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,2,synthetic-line-8,"$2,240,000",net_worth_equity,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1002-COMPANY-NET_WORTH_EQUITY,manual_ncino_control,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,2,synthetic-line-8,"$2,240,000",net_worth_equity,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1002,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-REVENUE,ncino_automated_spreading,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-1,"$4,980,000",revenue,0.79,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-REVENUE,salesforce_native_staging,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-1,"$4,980,000",revenue,0.79,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-REVENUE,manual_ncino_control,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-1,"$4,980,000",revenue,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-EBITDA,ncino_automated_spreading,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-2,"$620,000",ebitda,0.79,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-EBITDA,salesforce_native_staging,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-2,"$620,000",ebitda,0.79,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-EBITDA,manual_ncino_control,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-2,"$620,000",ebitda,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-DEBT_SERVICE,ncino_automated_spreading,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-3,"$590,000",debt_service,0.79,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-DEBT_SERVICE,salesforce_native_staging,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-3,"$590,000",debt_service,0.79,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-DEBT_SERVICE,manual_ncino_control,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-3,"$590,000",debt_service,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-CASH,ncino_automated_spreading,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-4,"$95,000",cash,0.79,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-CASH,salesforce_native_staging,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-4,"$95,000",cash,0.79,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-CASH,manual_ncino_control,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-4,"$95,000",cash,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-CURRENT_ASSETS,ncino_automated_spreading,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-5,"$1,140,000",current_assets,0.79,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
DOC-SYN-1003-SCAN-CURRENT_ASSETS,salesforce_native_staging,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,1,synthetic-line-5,"$1,140,000",current_assets,0.79,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1003,certified,Synthetic extracted value matches baseline.
