case_id,borrower,loan_or_opportunity,document_id,statement_type,fiscal_period,normalized_line,manual_value,material,analyst,certification_timestamp,source_page,source_coordinates,notes
DOC-SYN-1003-SCAN-CASH,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,cash,95000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-4,Gold-standard synthetic value.
DOC-SYN-1003-SCAN-CURRENT_ASSETS,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,current_assets,1140000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-5,Gold-standard synthetic value.
DOC-SYN-1003-SCAN-CURRENT_LIABILITIES,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,current_liabilities,1090000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-6,Gold-standard synthetic value.
DOC-SYN-1003-SCAN-TOTAL_LIABILITIES,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,total_liabilities,3700000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-7,Gold-standard synthetic value.
DOC-SYN-1003-SCAN-NET_WORTH_EQUITY,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,net_worth_equity,1050000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-8,Gold-standard synthetic value.
DOC-SYN-1004-10Q-REVENUE,Delta Tooling Group Inc.,LOAN-SYN-1004,DOC-SYN-1004-10Q,income_statement,Q3-2025,revenue,6400000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-1,Gold-standard synthetic value.
DOC-SYN-1004-10Q-EBITDA,Delta Tooling Group Inc.,LOAN-SYN-1004,DOC-SYN-1004-10Q,income_statement,Q3-2025,ebitda,1870000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-2,Gold-standard synthetic value.
DOC-SYN-1004-10Q-CASH,Delta Tooling Group Inc.,LOAN-SYN-1004,DOC-SYN-1004-10Q,income_statement,Q3-2025,cash,1120000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-3,Gold-standard synthetic value.
DOC-SYN-1004-10Q-CURRENT_ASSETS,Delta Tooling Group Inc.,LOAN-SYN-1004,DOC-SYN-1004-10Q,income_statement,Q3-2025,current_assets,5900000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-4,Gold-standard synthetic value.
DOC-SYN-1004-10Q-CURRENT_LIABILITIES,Delta Tooling Group Inc.,LOAN-SYN-1004,DOC-SYN-1004-10Q,income_statement,Q3-2025,current_liabilities,3430000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-5,Gold-standard synthetic value.
DOC-SYN-1004-10Q-TOTAL_LIABILITIES,Delta Tooling Group Inc.,LOAN-SYN-1004,DOC-SYN-1004-10Q,income_statement,Q3-2025,total_liabilities,8260000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-6,Gold-standard synthetic value.
DOC-SYN-1004-10Q-NET_WORTH_EQUITY,Delta Tooling Group Inc.,LOAN-SYN-1004,DOC-SYN-1004-10Q,income_statement,Q3-2025,net_worth_equity,6770000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-7,Gold-standard synthetic value.
